name,category_id,code,date,date_depreciation,code_name,value,salvage_value,value_residual,percent,method_number,method_period,purchase_value
ทาวน์เฮ้าส์ 2 ชั้น,BUL-BUL  -  อาคาร ADM,BUL-58001,2015-05-08,2015-05-08,BUL-58001,2500000.0,,831506.52,5.0,240,1,831506.52
ประตูนิรภัยม้วน อลูมิเนียม,BUL-BUL  -  อาคาร ADM,BUL-61001,2018-02-13,2018-02-13,BUL-61001,163792.78,,31793.559999999998,5.0,240,1,31793.559999999998
ประตูม้วน แบบทึบ,BUL-BUL  -  อาคาร ADM,BUL-61002,2018-02-13,2018-02-13,BUL-61002,69411.97,,13473.340000000004,5.0,240,1,13473.340000000004
ห้องน้ำชั้น 1 (ปรับปรุง),BUL-BUL  -  อาคาร ADM,BUL-61003,2018-03-30,2018-03-30,BUL-61003,28893.1,,5430.149999999998,5.0,240,1,5430.149999999998
ห้องน้ำชั้น 3 (ปรับปรุง),BUL-BUL  -  อาคาร ADM,BUL-61004,2018-03-30,2018-03-30,BUL-61004,55015.1,,10339.659999999996,5.0,240,1,10339.659999999996
ตกแต่งต่อเติมทางเฮาส์ 2 ชั้น,BUL-BUL  -  อาคาร ADM,BUL-61005,2018-08-01,2018-08-01,BUL-61005,1807701.62,,309042.51,5.0,240,1,309042.51
ตกแต่งอาคารพาณิชย์,BUL-BUL  -  อาคาร ADM,BUL-61006,2018-08-01,2018-08-01,BUL-61006,627301.5,,107242.62,5.0,240,1,107242.62
โครงเหล็กกรอบอาคาร,BUL-BUL  -  อาคาร ADM,BUL-61007,2018-08-01,2018-08-01,BUL-61007,254625.0,,43530.23999999999,5.0,240,1,43530.23999999999
หลังคาแผ่นเมทัลชีส,BUL-BUL  -  อาคาร ADM,BUL-64001,2021-03-17,2021-03-17,BUL-64001,43000.0,,1708.1800000000003,5.0,240,1,1708.1800000000003
สำนักงานและโรงงานที่นครปฐม,BUL-BUL  -  อาคาร PLA,BUL-49001,2006-12-01,2006-12-01,BUL-49001,12088095.51,,9117403.95,5.0,240,1,9117403.95
โครงสร้างสำหรับติดตั้งเครื่องจักร,BUL-BUL  -  อาคาร PLA,BUL-49002,2006-12-01,2006-12-01,BUL-49002,2230500.63,,1682346.68,5.0,240,1,1682346.68
รั้วเสาปูนและลวดหนาม,BUL-BUL  -  อาคาร PLA,BUL-49003,2006-12-01,2006-12-01,BUL-49003,210265.0,,210264.0,20.0,60,1,210264.0
สำนักงานและโรงงาน ครั้งที่1,BUL-BUL  -  อาคาร PLA,BUL-50001,2007-05-01,2007-05-01,BUL-50001,843419.74,,618699.6799999999,5.0,240,1,618699.6799999999
สำนักงานและโรงงาน ครั้งที่2,BUL-BUL  -  อาคาร PLA,BUL-50002,2007-05-01,2007-05-01,BUL-50002,866471.3,,635609.4500000001,5.0,240,1,635609.4500000001
รั้วสแตนเลส,BUL-BUL  -  อาคาร PLA,BUL-50003,2007-05-01,2007-05-01,BUL-50003,257440.0,,188847.38,5.0,240,1,188847.38
วางท่อระบายน้ำ,BUL-BUL  -  อาคาร PLA,BUL-50004,2007-05-01,2007-05-01,BUL-50004,55800.0,,40932.01,5.0,240,1,40932.01
ตะแกรงดักนก,BUL-BUL  -  อาคาร PLA,BUL-50005,2007-05-01,2007-05-01,BUL-50005,32000.0,,23473.239999999998,5.0,240,1,23473.239999999998
ศาลพระพรหม,BUL-BUL  -  อาคาร PLA,BUL-50006,2007-07-01,2007-07-01,BUL-50006,94588.75,,68595.59,5.0,240,1,68595.59
ห้องเก็บกระสอบ,BUL-BUL  -  อาคาร PLA,BUL-50007,2007-08-01,2007-08-01,BUL-50007,74432.9,,53662.40999999999,5.0,240,1,53662.40999999999
ห้องเก็บยา,BUL-BUL  -  อาคาร PLA,BUL-50008,2007-10-01,2007-10-01,BUL-50008,25500.0,,18170.66,5.0,240,1,18170.66
โกดังเก็บสินค้า,BUL-BUL  -  อาคาร PLA,BUL-51001,2008-09-05,2008-09-05,BUL-51001,2865165.75,,1908544.2,5.0,240,1,1908544.2
ห้องประชุมสำนักงาน,BUL-BUL  -  อาคาร PLA,BUL-52001,2009-02-12,2009-02-12,BUL-52001,11831.04,,7621.4400000000005,5.0,240,1,7621.4400000000005
ห้องพรีมิกซ์,BUL-BUL  -  อาคาร PLA,BUL-52002,2009-02-12,2009-02-12,BUL-52002,65683.0,,42315.4,5.0,240,1,42315.4
